2    17,28,18,11,12,21,13,14,18,2010,15,24,16,17,21,33,23,22,21,22,26,28,18,17,20,21,29,26,20,14,11,22,2414076,14,15,17,21,32,19,7,19,11,16,10,21,3277330,12,20,24,18,24,25,23,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3    14,20,290905,26,16,19,2023,23,17,23,17,24,23,15,20,19,17,13,18,25,1162142,20,24,17,15,19,17,20,14,18,23,12,17,21,17,16,13,18,17,22,16,24,17,26,30,3123002,20,18,13,15,23,21,18,21,14,18,10,17,10,13,17,22,25,26,19,11,17,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3    25,23673,20,11,19,24,10,19,19,18,28,16,49,11,16,19,14,1604871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4    20,16,23,3952,19,19,133138,54119,11,50130,14,24,22,403781,21,20,16,31,16,19,16,29,16,19,10,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3    20,2027,16,18,25,16,19,13,2058,11,19,24,518236,24,17,30,20,14,16,23,16,16,1978,20,2002,20,19,24,32,3,8,22,6,30,24,21,10,28,18,20,18,15,22,22,2014,1991,11,19,25,16,11,23,20,17,20,16,29,28,24,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3    29,14,20,18,17,22,27,15,28,17,19,14,17,11,16,16,803642,15,27078,986862,19,11,19,15,25,15,26,15,21,23,32,10,54247,28,22,15,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,



0    439950,621199,646214,1369742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1    18,12,20,28,23,23,21,20,20,14,13,19,19,24,13,24,22,53579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1    17,14,28,14,15,18,20,23,25,10,17,24,15,9,18,21,15,16,15,22,17,19,17,21,25,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1    20,28,15,20,13,15,13,22,26,25,22,11,14,15,19,18,22,22,19,10,2021,22,29,19,16,19,28,22,12,26,22,14,21,29,21,20,23,21,27,8,20,19,16,17,34,29,13,28,21,15,15,13,22,14,23,27,20,11,18,19,18,16,22,22,25,13,23,21,16,24,21,12,25,30,25,11,11,27,14,23,16,25,20,22,18,19,19,16,24,9,24,11,18,17,18,22,18,16,22,15,
2    17,10,9,24,432344,439950,13,13,16,25,16,17,1658,18,22,16,8,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
